latitude,longitude,altitude,geometry,coordinates,@id,area,public_transport,railway,ref,name,train,amenity,barrier,surface,departures_board,subway,lit,shelter,layer,level,tactile_paving,to,network,operator
28.6620256,77.1902388,,Polygon,"77.1902388,28.6620256,77.1855496,28.6634434,77.1842364,28.6638405,77.1842061,28.6637633,77.1902084,28.6619484,77.1902388,28.6620256",way/387410458,yes,platform,platform,"4, 5",,yes,,,concrete,,,,,,,,,,
28.6109786,77.1147627,,Polygon,"77.1147627,28.6109786,77.1154011,28.6117321,77.1154819,28.6116793,77.1155101,28.611704,77.1154858,28.6117201,77.1155641,28.6118115,77.1156152,28.6117778,77.1159985,28.6122225,77.1160975,28.6123409,77.1161875,28.6122815,77.1162598,28.612242,77.1163751,28.6123763,77.1160988,28.6125693,77.1184893,28.6153301,77.1184425,28.6153643,77.1158391,28.6123357,77.1146129,28.6109093,77.1146692,28.6108716,77.1147627,28.6109786",way/408035626,yes,platform,platform,1,,yes,,,concrete,yes,,,,,,,,,
28.5839988,77.091397,,Polygon,"77.091397,28.5839988,77.0914587,28.5839564,77.0952058,28.5883348,77.0951521,28.5883702,77.0944601,28.5875812,77.0927381,28.5855722,77.0926148,28.5853743,77.091397,28.5839988",way/408035627,yes,,platform,,,,,,,,,,,,,,,,
28.6111777,77.1146317,,Polygon,"77.1146317,28.6111777,77.1157165,28.612432,77.1179616,28.6150276,77.1178879,28.6150817,77.1176572,28.6148463,77.1174775,28.6146626,77.1156268,28.6124964,77.1148784,28.6116204,77.1146813,28.6113744,77.114578,28.6112154,77.1146317,28.6111777",way/408035628,yes,platform,platform,"2, 3",,yes,,,concrete,,,,,,,,,,
28.5836974,77.0914319,,Polygon,"77.0914319,28.5836974,77.0914601,28.5836773,77.0917578,28.5839753,77.0918718,28.5840919,77.0951266,28.5878873,77.0952219,28.5880063,77.0953372,28.5881688,77.0952809,28.588203,77.0914319,28.5836974",way/408035629,yes,,platform,,,,,,,,,,,,,,,,
28.6155939,77.1181319,,Polygon,"77.1181319,28.6155939,77.1181105,28.6156092,77.1179348,28.6154914,77.117684,28.6152889,77.1175003,28.6151123,77.1154032,28.6126654,77.1143836,28.6114756,77.1144305,28.6114415,77.1144694,28.6114862,77.1154518,28.6126287,77.117558,28.6150782,77.1177229,28.6152489,77.1179657,28.6154467,77.1181319,28.6155939",way/408087290,yes,,platform,,,,,,,,,,,,,,,,
28.6800917,77.1319635,,Polygon,"77.1319635,28.6800917,77.1304454,28.680234,77.1256818,28.6806423,77.1268137,28.6804364,77.1276653,28.6803505,77.1302938,28.6801434,77.1319501,28.6799964,77.1319635,28.6800917",way/436876091,,platform,platform,,,,,,,,,,,,,,,,
28.6807258,77.1259071,,Polygon,"77.1259071,28.6807258,77.1320949,28.6801964,77.1320963,28.6802128,77.1307471,28.6803599,77.1279643,28.6806282,77.1272093,28.6806846,77.1259124,28.6807658,77.1259071,28.6807258",way/436876092,,platform,platform,,,,,,,,,,,,,,,,
28.6442959,77.2194828,,Polygon,"77.2194828,28.6442959,77.219209,28.6455656,77.2191085,28.6460455,77.2190273,28.6460451,77.2191044,28.645542,77.2191258,28.6454149,77.2193676,28.6442787,77.2194843,28.6437177,77.2195508,28.643381,77.2197575,28.6423851,77.2198371,28.642047,77.2199141,28.6416696,77.2200979,28.6408037,77.2201807,28.6408169,77.2200202,28.6416884,77.2199511,28.6420622,77.2198849,28.642402,77.219672,28.643396,77.2196013,28.6437357,77.2194828,28.6442959",way/463699080,yes,platform,platform,2;3,3-Feb,,,,,,,,,,,,,,
28.6442643,77.2191309,,Polygon,"77.2191309,28.6442643,77.2192348,28.6438195,77.2192682,28.6436807,77.2193327,28.6433547,77.2195548,28.642381,77.2196003,28.6421815,77.2196531,28.6419334,77.2197605,28.64138,77.2199231,28.640707,77.2199665,28.6407159,77.2196548,28.6421915,77.219307,28.643836,77.219211,28.6442786,77.2190258,28.6451121,77.2189086,28.6456597,77.2188603,28.646147,77.2188102,28.6468088,77.2187944,28.6473404,77.2186806,28.6473404,77.2187128,28.646719,77.2187852,28.6460575,77.218812,28.6457115,77.2188737,28.645389,77.2191309,28.6442643",way/463699081,yes,platform,platform,1,1,,,,,,,,,,,,,,
