latitude,longitude,altitude,geometry,coordinates,@id,barrier,leisure,type,admin_level,boundary,name,wikidata,description,access,operator,layer,name:zh,old_name,addr:city,addr:postcode,addr:street,opening_hours,name:en,name:fa,name:es,wikipedia,addr:housenumber,natural,name:hi,name:de,name:ur,tourism,historic,int_name,designation,place,is_in,landuse,source,surface,man_made,opening_hours:covid19,religion,website,note,grass,grassland,amenity,building,addr:suburb,addr:neighbourhood,playground,water,fountain,addr:block,addr:city:en,alt_name,alt_name:hi,dog,addr:place,smoking,source:boundary,residential
,,,Polygon,"77.3065003,28.6197565,77.3067989,28.6189875,77.3072854,28.619133,77.3071197,28.6195597,77.3073906,28.6196407,77.3072576,28.6199831,77.3065003,28.6197565",way/76849184,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.310544,28.6082888,77.3106455,28.6080166,77.3108659,28.6080799,77.3107645,28.6083521,77.310544,28.6082888",way/76849189,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2947343,28.6179973,77.2948891,28.6174467,77.2943928,28.6166381,77.2945993,28.61653,77.295167,28.6174641,77.2949804,28.6180566,77.2947343,28.6179973",way/76849199,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2961688,28.6183004,77.2965071,28.6173329,77.2963356,28.6170625,77.2965293,28.6169593,77.2967644,28.6173246,77.2964071,28.6183701,77.2961688,28.6183004",way/76849205,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3056958,28.6197282,77.3053296,28.6196228,77.3056828,28.618654,77.3060624,28.6187613,77.3056958,28.6197282",way/76849226,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2967699,28.6164468,77.2963353,28.6156829,77.296531,28.6155971,77.2969656,28.616361,77.2967699,28.6164468",way/76849247,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3076606,28.6198373,77.3078087,28.6194419,77.3079396,28.6194797,77.3079703,28.6193978,77.3081395,28.6194466,77.3082301,28.6192047,77.3086627,28.6193297,77.3084941,28.6197798,77.3082403,28.6197065,77.308019,28.6202972,77.3076831,28.6202002,77.3078036,28.6198786,77.3076606,28.6198373",way/76849257,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2954529,28.6181263,77.2956593,28.6175164,77.2955987,28.617388,77.2958172,28.6172787,77.2959417,28.6175218,77.295713,28.6181909,77.2954529,28.6181263",way/76849261,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.3062189,28.6173061,77.3063715,28.6169318,77.3067086,28.6170377,77.3065561,28.617412,77.3062189,28.6173061",way/76849262,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"77.2979467,28.6197143,77.2980429,28.6194305,77.2978761,28.619387,77.297918,28.6192634,77.2985093,28.6194178,77.2984696,28.6195348,77.298285,28.6194865,77.2981866,28.619777,77.2979467,28.6197143",way/76849270,wall,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
