latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,type,name,shop,brand,brand:wikidata,cuisine,takeaway,website,addr:city,addr:housenumber,addr:postcode,addr:street,air_conditioning,bar,opening_hours,phone,smoking,wikidata,wikipedia,internet_access,alt_name,capacity,note,landuse,addr:suburb,outdoor_seating,addr:unit,delivery,wheelchair,check_date,tourism,diet:vegetarian,created_by,indoor_seating,addr:place,operator,name:fa,disused,cmt,description,ele,source,sym,addr:housename,name:ru,level,short_name,man_made,name:es,name:en,addr:country,official_name,wifi,contact:phone,start_date,name:fr,toilets,toilets:access,parking,popular name,email,food,diet:vegan,internet_access:fee,name:ca,name:hi,brand:wikipedia,name:ko,fixme,name:kn,name:de,name:ar,addr:hamlet,drive_through,phone_1,access,building:levels,source:height,name:ja,drink:coffee,drink:tea,seats,tables,addr:subdistrict,payment:cash,payment:debit_cards,payment:paytm,sport,alcohol,drink:beer,drink:vodka,drink:wine,self_service,drink:sake,branch,name:he,name:bn,addr:block,contact:email,contact:facebook,contact:instagram,contact:website,drink:shake,addr:district,instagram,indoor,diet:lacto_vegetarian,drink:hot_chocolate,opening_hours:covid19,diet:non-vegetarian,reservation,amenity_1,organic,addr:full
28.5234052,77.2076313,,Point,,node/2654012071,cafe,,,Cafe Coffee Day,,Cafe Coffee Day,Q5017235,coffee_shop,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6318106,77.2163806,,Point,,node/3242109751,cafe,,,Madras Coffee House,,,,,,,,P-5/90,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,0,,,,,,,,,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6851152,77.2125772,,Point,,node/3379617460,cafe,,,Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5278854,77.2502591,,Point,,node/3386751351,cafe,,,Cafe Coffee Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5341212,77.2428302,,Point,,node/3394398838,cafe,,,Starbucks,,,,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5335834,77.2433039,,Point,,node/3394398839,cafe,,,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5400024,77.2343195,,Point,,node/3404446567,cafe,,,Cafe Coffee Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5332416,77.2438243,,Point,,node/3508300436,cafe,,,Cafe Coffee Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6626659,77.2339069,,Point,,node/3549988346,cafe,,,Stri Shakti Canteen,,,,indian,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5454112,77.1923043,,Point,,node/3636401999,cafe,,,Cafe Coffee Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cycle parking nearby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
