latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,name,type,shop,landuse,tourism,area,highway,addr:housenumber,addr:street,barrier,operator,addr:city,addr:postcode,check_date,opening_hours,wheelchair,building:levels,toilets:wheelchair,wikidata,opening_hours:cinema,opening_hours:restaurant,source,alt_name,access,phone,addr:district,name:en,name:hi,indoor:area,indoor:level,male,fee,toilets:disposal,layer,description,note,female,level,website,designation,fax,place,payment:bitcoin,payment,tactile_paving,unisex,changing_table,address,crossing,disused:amenity
28.5347576,77.1426919,,Polygon,"77.1426919,28.5347576,77.1424154,28.5344877,77.1433538,28.5335455,77.1433762,28.5336191,77.1433845,28.5337442,77.1433371,28.5340092,77.1432561,28.5342251,77.1431611,28.5344043,77.143041,28.5345637,77.1426919,28.5347576",way/190291270,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5433532,77.1562319,,Polygon,"77.1562319,28.5433532,77.156146,28.5432778,77.1562533,28.543193,77.1562748,28.5431081,77.1564035,28.5430233,77.1565645,28.542995,77.1567683,28.5430422,77.1569078,28.5431458,77.157058,28.5430516,77.1572887,28.5433635,77.1571116,28.5434757,77.1571975,28.5435794,77.1572189,28.5436642,77.1572511,28.5437113,77.1571545,28.5438527,77.1571975,28.5439469,77.1569507,28.5440883,77.156838,28.5440044,77.1566288,28.5439187,77.1562319,28.5433532",way/191980797,,yes,DLF Emporio,,mall,,,,,4,Nelson Mandela Marg,,,New Delhi,110070,,11:00-21:00,yes,4,yes,Q5374410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5431176,77.1555452,,Polygon,"77.1555452,28.5431176,77.1552019,28.5426746,77.1552555,28.542618,77.155159,28.5425144,77.1552126,28.5424861,77.1552019,28.5423636,77.1553521,28.5422976,77.1554808,28.5423259,77.1555399,28.5423268,77.1556525,28.5424484,77.1557866,28.5424493,77.1560387,28.5422787,77.1559315,28.5421751,77.1558885,28.5421279,77.15591,28.5417981,77.1561031,28.541685,77.1562319,28.5417604,77.1562962,28.5418452,77.1562211,28.5420243,77.1561782,28.5421939,77.1562211,28.5423447,77.1562962,28.5424484,77.1565001,28.5425709,77.1566878,28.5425624,77.1568273,28.5425624,77.1569668,28.5427698,77.1568005,28.5428348,77.1563821,28.5427877,77.1562641,28.5428254,77.1561782,28.5427406,77.1560387,28.5427783,77.1560387,28.5429573,77.1561138,28.5430704,77.15591,28.5432307,77.1557169,28.5432212,77.1555452,28.5431176",way/191980803,,yes,DLF Promenade,,mall,,,,,3,Nelson Mandela Marg,,,New Delhi,110070,,10:00-22:00,yes,,yes,,10:00 - 02:00,11:00 - 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6010154,77.0283599,,Polygon,"77.0283599,28.6010154,77.0298743,28.6000197,77.0308414,28.6011535,77.0293269,28.6021492,77.0283599,28.6010154",way/209492487,,,Vegas Mall,,mall,commercial,,,,,Internal road,,,"Dwarka, New Delhi",110078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5902584,77.0282272,,Polygon,"77.0282272,28.5902584,77.0288483,28.5909972,77.0279148,28.5916023,77.0272937,28.5908636,77.0282272,28.5902584",way/209494684,police,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6930214,77.173503,,Polygon,"77.173503,28.6930214,77.1722354,28.6942273,77.1710939,28.6933039,77.1719222,28.692516,77.1723032,28.6928242,77.1727425,28.6924063,77.173503,28.6930214",way/221528647,marketplace,,Central Market Ashok Vihar,,,,,,,,,,,,,,,,,,,,,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6908166,77.1639466,,Polygon,"77.1639466,28.6908166,77.1640668,28.6905772,77.1647022,28.6908225,77.164582,28.6910619,77.1639466,28.6908166",way/221529938,marketplace,,D-Block Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5676988,77.1941926,,Polygon,"77.1941926,28.5676988,77.1942256,28.5675886,77.1947257,28.567704,77.1946201,28.5680567,77.1944861,28.5680258,77.1945587,28.5677833,77.1941926,28.5676988",way/234096675,,yes,,,mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.523034,77.2144937,,Polygon,"77.2144937,28.523034,77.2143666,28.5225463,77.2152426,28.5223524,77.2153429,28.5228636,77.2144937,28.523034",way/239636989,marketplace,,J Block Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5231403,77.2082238,,Polygon,"77.2082238,28.5231403,77.2084228,28.5231008,77.2085536,28.5236092,77.2083545,28.5236487,77.2082238,28.5231403",way/239641074,police,yes,Saket Police Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5622469,77.2672866,,Polygon,"77.2672866,28.5622469,77.2673286,28.5621895,77.2678196,28.562467,77.2675341,28.5628566,77.2670432,28.5625791,77.2672866,28.5622469",way/258246547,police,,New Friends Colony PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6741702,77.2847604,,Polygon,"77.2847604,28.6741702,77.2857001,28.6744096,77.2853592,28.6754376,77.2844162,28.6751914,77.2847604,28.6741702",way/259024069,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6852521,77.2016848,,Polygon,"77.2016848,28.6852521,77.2015802,28.6849297,77.2027086,28.6846438,77.2027335,28.6847556,77.2022802,28.685365,77.2021864,28.6853109,77.2020415,28.6852662,77.2019181,28.6852474,77.2018296,28.6852474,77.2016848,28.6852521",way/259036535,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6118563,77.076635,,Polygon,"77.076635,28.6118563,77.0766194,28.6115515,77.0769906,28.6115333,77.077011,28.6118404,77.076635,28.6118563",way/260463358,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5311649,77.265937,,Polygon,"77.265937,28.5311649,77.265284,28.5310265,77.2654414,28.5304733,77.2660897,28.5306175,77.265937,28.5311649",way/262248695,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
